一	1
𡹫	山 4 尸 冂 口
𡹬	山 冎 口
𡹭	山 宀 1 厶 土
𡹮	山 亼 口 廾
𡹯	山 回 5 4
𡹰	山 艹 5 4 矛无龴
𡹱	山 幺 横三点 二 6
𡹲	山 5 龰 青字底
𡹳	山 八 厶 瓦
𡹴	山 千二 龷 木无横
𡹵	山 亻 5 1 卧人 大
𡹶	山 1 日 女 6
𡹷	山 阝 夂 牙二 2
𡹸	山 勹 横两撇 4 心
𡹹	十 口 月 山
𡹺	山 尚字头 青字底 刂
𡹻	山 厂 丅 1 二 6
𡹼	山 厂 言
𡹽	山 人 人 人 人 6
𡹾	山 日 1 内
𡹿	山 大 十 厶 儿
𡺀	山 宀 夂 口
𡺁	山 叚右角 2 二 叚右角 又
𡺂	山 4 尸 冂 艹
𡺃	山 冫 2 久二 4 寸
𡺄	山 木 二 戈无一
𡺅	山 聿三 举字底 5 4
𡺆	阝 左字框 青字底 山
𡺇	山 阝 3 㠯
𡺈	山 立无横 1 日
𡺉	山 厂 甲 二
𡺊	山 八 人 目
𡺋	山 丆 目 八
𡺌	山 负字头 奐字腰 大
𡺍	山 千二 申 二
𡺎	山 负字头 临下角 全字头 冬字底
𡺏	山 卧人 大 欠
𡺐	山 十 左字框 日
𡺑	山 艹 1 6 木
𡺒	山 厂 亠 民字框 飞无折
𡺓	山 比字旁 匕 3 日
𡺔	日 定字底 山
𡺕	山 目 八 5 3
𡺖	山 2 幺 幺 凵
𡺗	山 龵 目
𡺘	山 3 木 火
𡺙	山 3 日 2 水字框
𡺚	山 丷 西无一 二
𡺛	山 2 人 人 人 人
𡺜	山 八 刀 瓦
𡺝	山 负字头 厂 卧人 大
𡺞	山 立无横 1 日
𡺟	山 宀 1 日 1
𡺠	山 冖 1 車无一
𡺡	山 乃 又 皿
𡺢	山 目 八 刂
𡺣	山 享字头 冖 1 2
𡺤	山 风省 3 口 虫无口
𡺥	山 日 禺字底
𡺦	山 乃 又 皿
𡺧	负字头 彐 攵 山
𡺨	山 5 丄 口 牙二 2
𡺩	山 冎 口
𡺪	山 冖 1 1 豕省
𡺫	山 爫 臼
𡺬	山 丷 1 八 皿
𡺭	山 丅 1 目 八
𡺮	山 厂 月 巴三 6
𡺯	山 爫 朱三 山
𡺰	山 阝 辛
𡺱	山 5 4 矛无龴 夂 5 3
𡺲	山 阝 厶 八 夂
𡺳	山 豕二 豸字底 豕二 豸字底
𡺴	山 宀 八 出
𡺵	山 埓上角 豸字底 才
𡺶	宀 寒字腰 八 山
𡺷	山 丆 目 夂
𡺸	山 老 日
𡺹	山 丷 夫 手
𡺺	山 3 青字底 1 3 弓
𡺻	山 丆 口 又 土
𡺼	山 3 目 木
𡺽	山 1 厶 厶 1 日
𡺾	山 亻 隹字边 十
𡺿	山 阝 土 八 夂
𡻀	山 山 夂 三 2
𡻁	山 臼 2 又
𡻂	山 王 丆 日
𡻃	山 丅 1 目 八
𡻄	山 日 土 寸
𡻅	山 鳥省 山
𡻆	山 3 目 全字头 十
𡻇	山 3 目 三 2
𡻈	山 三 人 3 木
𡻉	山 寒字腰 冂 里无日
𡻊	山 土 厶 皿
𡻋	山 骨字头 青字底
𡻌	山 山 厂 二 6 水字边
𡻍	山 山 3 扌 戈无一
𡻎	山 亻 隹字边 乃
𡻏	山 人 人 十 厶 儿
𡻐	山 八 厶 习 习
𡻑	山 冖 豕二 豸字底 4 水字边
𡻒	5 4 矛无龴 夂 5 3 山
𡻓	山 亻 立无横 1 口
𡻔	山 氵 4 艮
𡻕	山 厂 戈无一 二 小
𡻖	山 口 目 八
𡻗	山 匕 目 6 八
𡻘	山 丷 1 举字底 皿
𡻙	山 享字头 5 子字底 阝
𡻚	山 广 聿三 2 率字腰
𡻛	山 1 亻 隹字边 十
𡻜	山 宀 八 1 厶 土
𡻝	山 巛 日 木
𡻞	山 日 龷 十
𡻟	山 艹 日 大
𡻠	山 广 艹 1 灬
𡻡	山 亽 5 西无一 二
𡻢	山 见二 土 丷 干 1
𡻣	山 3 木 久二 4 久二 4
𡻤	广 木 木 山
𡻥	山 广 木 木
𡻦	山 山 山 丆 口
𡻧	1 口 丷 1 十 又 山
𡻨	山 六 口 3 6 水字边
𡻩	山 日 罒 又
𡻪	山 习 习 全字头 彡
𡻫	山 享字头 口 口
𡻬	山 方 卧人 卧人 大
𡻭	山 田 幺 小
𡻮	山 4 尸 口 巴三 6
𡻯	山 1 乂 乂 乂 乂 人
𡻰	山 久二 冬字底 5 4 二 小
𡻱	山 田 幺 小
𡻲	山 大 见二 八 见二 1
𡻳	山 享字头 5 子字底 阝
𡻴	山 阝 土 八 夂
𡻵	山 卧人 口 口 口
𡻶	山 氵 王 攵
𡻷	山 厂 上 小 戈无一
𡻸	山 艹 三 八 土
𡻹	山 艹 夂 三 2
𡻺	山 左字框 临字旁 1 6 冖 巾
𡻻	山 虍 3 丷 于无横
𡻼	山 小 田 丌
𡻽	山 见二 1 土 亥无亠无人 6 水字边
𡻾	山 见二 1 2 率字腰 巾
𡻿	山 金 山
𡼀	山 人 人 人 人 举字底
𡼁	山 亠 乂 凵 禸
𡼂	山 鹿
𡼃	山 氵 皮 女
𡼄	山 宀 八 1 厶 土
𡼅	山 1 耳无一 卬字旁 3 卩
𡼆	山 虍 夂 几
𡼇	山 3 见二 乂 1 儿 夂
𡼈	山 土 丷 干 丸
𡼉	千二 申 二 5 3 山
𡼊	山 厶 厶 厶 幺 小
𡼋	山 大 1 口 2 攴
𡼌	山 宀 寒字腰 八 巳
𡼍	山 氵 日 1 勹 横两撇
𡼎	山 士 口 丷 1 口
𡼏	山 門字旁 門字边 日
𡼐	印字旁 6 日 攵 山
𡼑	山 口 口 口 二 6
𡼒	山 覀无一 1 日 十
𡼓	山 丷 西无一 二 大
𡼔	山 丅 1 丆 目 八
𡼕	山 亻 隹字边 2 5 冂
𡼖	享字头 5 子字底 攵 山
𡼗	山 3 目 率字腰 十
𡼘	山 山 山 人 亽 5
𡼙	山 丄 人 人 人 人 1 6
𡼚	口 口 山 口 口
𡼛	山 丆 见二 二 冖 1 戈无一
𡼜	山 王 月 月
𡼝	山 十 艹 目 八
𡼞	山 十 左字框 日 阝
𡼟	山 覀 大 5 6
𡼠	山 幺 幺 1 戈无一
𡼡	山 黑五 里无日 灬
𡼢	山 彐 丅 1 口 寸
𡼣	山 聿三 2 乔字底 2 1 6 1 5 1 2
𡼤	山 口 口 日 十
𡼥	山 門字旁 門字边 月
𡼦	山 宀 二 小 攵
𡼧	山 尸 2 率字腰 3 举字底
𡼨	山 木 木 木
𡼩	山 日 京
𡼪	山 竹头 亼 口
𡼫	山 夫 夫 日
𡼬	山 覀 日 十
𡼭	山 大 1 口 2 欠
𡼮	山 日 京
𡼯	口 口 日 十 山
𡼰	山 山 口 口 二 6
𡼱	山 见二 5 丄 口 牙二 2 1
𡼲	山 金 欠
𡼳	山 丷 曾字头无丷 日
𡼴	山 人 人 2 厂 目
𡼵	山 丷 木 久二 4 牙二 2
𡼶	山 厶 厶 厶 全字头 2 横三点
𡼷	山 火 日 火
𡼸	山 竹头 聿三 举字底
𡼹	山 木 土 八 夂
𡼺	山 卧人 6 5 亠 4 二 小
𡼻	3 十 龷 凵 3 㠯
𡼼	山 十 早 月
𡼽	山 亽 即字旁 欠
𡼾	山 亼 曾字头无丷 日
𡼿	山 宀 八 尸 出
𡽀	山 乂 鬯四点 凵 八 夂
𡽁	山 3 目 辛
𡽂	山 士 口 丷 1 十 又
𡽃	阝 左字框 丅 1 左字框 丅 1 山
𡽄	山 3 日 方 攵
𡽅	山 冖 1 車无一 辶
𡽆	山 宀 真
𡽇	山 艹 日 禺字底
𡽈	山 尸 二 2 二 出
𡽉	山 亠 丷 2 刀 卬字旁 4 乔字底 二
𡽊	山 龸 口 田
𡽋	山 礻三 4 5 二 2 率字腰
𡽌	士 口 丷 1 十 又 山
𡽍	山 曲 1 口 丷 1
𡽎	山 金 艹 二
𡽏	山 丆 冂 临字旁 免
𡽐	山 厂 习 习 全字头 彡
𡽑	山 见二 1 1 2 6 黽左角 彐
𡽒	山 山 本 本
𡽓	山 山 丷 1 夫三 丅 1
𡽔	山 见二 1 人 人 人 人 十
𡽕	山 3 目 辛
𡽖	山 角 刀 3 举字底
𡽗	山 亼 口 口 人 人
𡽘	山 口 止 夂 口
𡽙	山 日 勹 人 6 欠
𡽚	亼 朩 山 山 山
𡽛	山 丆 口 亻 隹字边
𡽜	山 3 木 刂 言
𡽝	山 艹 享字头 冂 口
𡽞	山 口 止 龷 日
𡽟	山 广 习 习 全字头 彡
𡽠	山 皮 丆 目 八
𡽡	山 免 免
𡽢	山 习 习 亻 隹字边
𡽣	山 厂 日 青字底 犬
𡽤	山 火 火 久二 4 牙二 2
𡽥	山 人 人 土 3 扌 戈无一
𡽦	山 广 习 习 全字头 彡
𡽧	山 厂 土 土 土 1 儿
𡽨	山 1 耳无一 又 乑
𡽩	山 士 口 冖 1 厶 土
𡽪	山 彳 1 幺 小 攵
𡽫	山 女 1 口 木无横 攵
𡽬	盥左角 1 6 2 盥右角 1 八 山
𡽭	山 厶 厶 厶 人 幺 小
𡽮	山 艹 5 2 水字框 1 灬
𡽯	山 3 木 千二 申 二
𡽰	山 幺 横三点 亻 隹字边
𡽱	山 土 亻 隹字边 戈无一
𡽲	山 木 立无横 冖 方
𡽳	山 臣 临右角 皿
𡽴	山 厂 6 丆 臣 戈无一
𡽵	山 业无横 1 丷 王 寸
𡽶	山 3 目 田 丌
𡽷	山 3 㠯 十 1 儿 1 儿
𡽸	山 爫 丅 1 彐 心
𡽹	山 亽 5 4 丆 目 八
𡽺	犭二 3 言 犬 山
𡽻	山 氵 1 車无一 反字框 丅
𡽼	山 忄 亠 厶 艹 木
𡽽	山 曾字头无丷 火 火
𡽾	山 臣 临右角 皿
𡽿	山 山 山 宀 二 小
𡾀	山 山 人 人 人 人 二 6
𡾁	山 氵 5 4 冂 举字底 辶
𡾂	山 丆 青字底 冖 止 攴
𡾃	山 小 亻 隹字边 1 戈无一
𡾄	山 衰字腰 口 2 女 攵
𡾅	山 虍 田 心
𡾆	山 夂 口 丆 目 八
𡾇	山 广 龷 由 八
𡾈	山 宀 八 3 青字底 1 3 弓
𡾉	山 广 木 木 手
𡾊	山 田 田 田
𡾋	山 田 田 田
𡾌	山 鹿 灬
𡾍	山 小 人 日 人 日
𡾎	左字框 火 日 1 勹 横两撇 山
𡾏	山 丆 口 丆 口 丆 口
𡾐	山 止 人 人 1 人 人 凵
𡾑	山 亻 人 人 人 人 丆 丅 1
𡾒	山 3 日 幺 幺 木
𡾓	山 尸 丷 曾字头无丷 日
𡾔	田 田 田 山
𡾕	山 山 氵 日 1 勹 横两撇
𡾖	山 丆 口 卑六 6 厶
𡾗	山 山 山 艹 见二 大
𡾘	山 享字头 回 口 十
𡾙	山 丅 口 口 1
𡾚	山 心 心 心 木
𡾛	山 卑六 6 厶 丷 开
𡾜	山 雨头 亻 隹字边
𡾝	山 亠 罒 2 率字腰 3 6 水字边
𡾞	山 丷 王 3 木 1 6 戈无一
𡾟	山 虍 虛字底无一 1 1 戈无一
𡾠	山 虍 业无横 1 1 戈无一
𡾡	山 尚字头 1 儿 尚字头 1 儿 日
𡾢	山 宀 三 2 罒 心
𡾣	山 1 口 丷 1 丆 目 八
𡾤	山 辟字旁 辛 5 子字底
𡾥	山 见二 四横 小 3 幺 小
𡾦	山 山 3 㠯 辛
𡾧	山 亻 隹字边 門字旁 門字边
𡾨	山 亠 罒 2 率字腰 3 6 水字边
𡾩	立无横 1 青字底 龍字边 山
𡾪	山 弓 1 田 1 田 1
𡾫	山 3 木 乃 丆 目 八
𡾬	山 竹头 馬字框 灬
𡾭	山 广 亠 回 3 木
𡾮	山 鱼省 灬 丷 1 举字底
𡾯	山 阝 爫 丅 1 彐 心
𡾰	山 宀 寒字腰 八 口 龰
𡾱	山 弓 1 八 巾 乂 乂 乂 乂
𡾲	山 艹 3 㠯 辛
𡾳	山 幺 横三点 3 见二 夂 1 心
𡾴	山 亼 口 口 人 人 欠
𡾵	山 卑六 6 厶 亻 立无横 1
𡾶	山 广 亻 亻 隹字边 心
𡾷	山 厂 丆 口 丆 口 丆 口
𡾸	山 目 八 目 八 女
𡾹	山 3 㠯 辛 木
𡾺	山 人 人 1 戈无一
𡾻	山 厂 6 丆 臣 戈无一
𡾼	山 亻 隹字边 亻 隹字边 又
𡾽	山 幺 横三点 丷 曾字头无丷 日
𡾾	山 金 卑六 6 厶
𡾿	山 2 三 2 三 2 凵 1 口 丷 1
𡿀	山 山 亻 隹字边 冂 八 口
𡿁	3 木 女 卑六 6 厶 山
𡿂	山 宀 二 小 巛 甲 二
𡿃	山 宀 夂 口 丆 目 八
𡿄	山 艹 厂 6 丆 臣 戈无一
𡿅	山 日 禺字底 丆 目 八
𡿆	山 卑六 6 厶 3 木 女
𡿇	山 罒 幺 横三点 亻 隹字边
𡿈	山 丆 口 丆 口 丆 口 木
𡿉	艹 田 田 田 山
𡿊	艹 1 口 夫 亻 隹字边 山
𡿋	山 艹 日 禺字底 口 虫无口
𡿌	山 非 广 木 木
𡿍	山 3 土 儿 3 土 儿 目 八
𡿎	山 亠 乂 凵 禸 亻 隹字边
𡿏	山 罒 幺 横三点 亻 隹字边
𡿐	山 广 木 木 非
𡿑	山 角 丷 木 久二 4 牙二 2
𡿒	山 艹 3 㠯 辛 5 子字底
𡿓	山 龸 口 黑五 里无日 灬
𡿔	山 田 田 田 幺 小
𡿕	山 虍 鬲 瓦
𡿖	山 三 2 刀 止 人 人 1 人 人 凵
𡿗	山 艹 3 㠯 辛 木
𡿘	山 山 幺 横三点 丷 曾字头无丷 日
𡿙	山 爫 幺 大 鳥省 灬
𡿚	山 艹 3 目 止 巳 殳
𡿛	山 厂 丆 口 丆 口 丆 口 木
𡿜	山 田 田 田 幺 小
𡿝	山 囊字头 口 口 寒字腰 3 6 水字边
𡿞	山 言 幺 横三点 幺 横三点 弓
𡿟	山 艹 3 目 止 巳 八 夂
𡿠	山 鱼省 灬 丷 木 久二 4 牙二 2
𡿡	山 雨头 口 口 口 丅 人 人 1
𡿢	山 3 㠯 止 彐 冖 巾 免
𡿣	山 言 负字头 口 比字旁 匕 兔
𡿤	卝 八 日 八 土 山 口 山 口
𡿥	山 木 朱三 山 木 冖 乂 鬯四点 凵 比字旁 彡
𡿦	巛
𡿧	1 巛
𡿨	6
𡿩	巛 冂 1
𡿪	巛 久二 4
𡿫	亠 6 川
𡿬	人 6 巛
𡿭	巛 巛
𡿮	亠 厶 巛
𡿯	日 巛
𡿰	1 上 巛
𡿱	1 巛 3 土
𡿲	巛 周字框 举字底
𡿳	巛 风省 举字底
𡿴	镸无厶 巛
𡿵	巛 十 口
𡿶	巛 本
𡿷	巛 口 口
𡿸	巛 1 见二 人 1
𡿹	巛 口 凵 2
𡿺	巛 3 见二 乂 1
𡿻	3 罒 巛
𡿼	巛 罒 十
𡿽	彡 止 巛
𡿾	巛 亻 隹字边
𡿿	1 戈无一 口 1 巛
𢀀	巛 盥左角 盥右角 6
𢀁	巛 反 左字框 又 4
𢀂	巛 见二 人 风省 2 率字腰
𢀃	士 风省 1 車无一 巛
𢀄	三 2 凵 巛 口 巴三 6
𢀅	巛 见二 人 乔字底 2 1 6 1 5 1 2
𢀆	巛 句 火 火
𢀇	巛 3 见二 乂 1 2 二 匕 人 几
𢀈	巛 见二 乂 1 2 2 二 匕 冖 几
𢀉	巛 见二 乂 1 2 二 匕 向
𢀊	巛 日 木 虍 人
𢀋	巛 日 木 虍 巾
𢀌	巛 日 木 巛 日 木
𢀍	日 京 巛 口 巴三 6
𢀎	3 日 巛 3 日 巛 3 日 巛
𢀏	巛 盥左角 盥右角 3 见二 乂 1 臼 禺字底
𢀐	幺 小 巛 见二 乂 1 幺 小 2 二 匕 人 几
𢀑	丅 5 1
𢀒	丅 1 6
𢀓	丅 1 5
𢀔	丅 1 6
𢀕	丅 1 5
𢀖	经右角 丅 1
𢀗	2 丅 1 6
𢀘	丅 1 乔字底
𢀙	丅 1 丩
𢀚	丅 二 二
𢀛	丅 1 口
𢀜	丅 1 5 夫三
𢀝	丅 丷 1 2 3
𢀞	丅 1 彐 3
𢀟	幺 刀 丅 1
𢀠	龵 左字框 丅 1
𢀡	左字框 丅 1 左字框 丅 1
𢀢	丅 1 目 儿
𢀣	丅 人 人 1 亥无亠无人 又
𢀤	丅 1 盥左角 1 殳
𢀥	1 叚右角 6 三 3 阝
𢀦	1 叚右角 6 反字框 叚右角 反字框 丅
𢀧	1 叚右角 6 亼 冂 艹
𢀨	1 叚右角 6 4 即字旁 阝
𢀩	亻 人 人 人 人 丆 丅 1
𢀪	丅 1 1 巾 人 人 人 人
𢀫	1 巛 丅 1 亻 3 士 几
𢀬	1 叚右角 6 4 即字旁 月
𢀭	1 叚右角 6 十 早 月
𢀮	亠 回 3 木 1 叚右角 6
𢀯	丅 厂 6 目 目 丅 1
𢀰	丅 1 2 6 目 目 全字头 丅 1
𢀱	1 叚右角 6 鱼省 灬 3 木
𢀲	1 叚右角 6 1 口 木无横 负字头 目 八
𢀳	彐 6
𢀴	反字框 巳
𢀵	己 己
𢀶	弓 己
𢀷	5 2 水字框 己
𢀸	卢字头 久二 4 巳
𢀹	3 㠯 巳
𢀺	夫 凵 巳
𢀻	丷 1 1 八 己
𢀼	共 巴三 6
𢀽	彡 止 己
𢀾	5 2 水字框 二 巳
𢀿	5 2 水字框 1 巴三 6
𢁀	共 勹 巳
𢁁	豕二 豸字底 4 水字边 巳
𢁂	艹 三 八 巳
𢁃	山 山 人 巳
𢁄	冫 2 卧人 大 巳
𢁅	巳 巳 3 左字框 3 十
𢁆	立无横 冖 巾 己
𢁇	5 2 三 水字框 巴三 6
𢁈	日 定字底 巳
𢁉	己 己 共
𢁊	巴三 6 扌 1 丅 1 6 4
𢁋	巴三 6 阝 土 八 夂
𢁌	巳 巳 无三 干 1 八
𢁍	巴三 6 爫 3 5 5 5 灬
𢁎	巳 1 四竖 1 巛 日 七
𢁏	3 土 口 3 皿 己
𢁐	田 田 田 巳
𢁑	巴三 6 1 口 木无横 负字头 目 八
𢁒	巾 几
𢁓	丆 巾
𢁔	厶 巾
𢁕	巾 勺
𢁖	巾 大
𢁗	巾 干
𢁘	巾 彡
𢁙	夂 巾
𢁚	巾 三
𢁛	左字框 3 巾
𢁜	巾 寸
𢁝	巾 巾
𢁞	巾 勹 3
𢁟	久二 4 巾
𢁠	巾 弓
𢁡	巾 5 6 4
𢁢	巾 二 6
𢁣	巾 亠 6
𢁤	巾 卬字旁 4
𢁥	八 刀 巾
𢁦	巾 比字旁 匕
𢁧	巾 欠
𢁨	聿三 3 巾
𢁩	巾 冂 3 4
𢁪	巾 5 大
𢁫	乂 乂 巾
𢁬	巾 反字框 2 4
𢁭	人 二 巾
𢁮	巾 亽 5
𢁯	巾 日
𢁰	人 丷 巾
𢁱	巾 夭
𢁲	巾 厶 儿
𢁳	歹 巾
𢁴	1 幺 巾
𢁵	巾 攴
𢁶	巾 冂 又
𢁷	巾 八 厶
𢁸	巾 方
𢁹	段二 二 巾
𢁺	反字框 1 5 巾
𢁻	巾 左字框 巾
𢁼	巾 宀 1 2
𢁽	巾 必
𢁾	巾 刀 口
𢁿	巾 1 止
𢂀	巾 弓 乔字底
𢂁	巾 句
𢂂	亽 5 4 巾
𢂃	巾 卧人 2 二
𢂄	巾 亠 幺
𢂅	巾 幺 刀
𢂆	巾 亻 寸
𢂇	1 丷 冖 巾
𢂈	巾 见二 三
𢂉	巾 巾 1 1
𢂊	巾 幺 5 3
𢂋	享字头 巾
𢂌	巾 亻 1 6 4
𢂍	巾 3 6 2 3
𢂎	巾 由
𢂏	1 巾 1 巾
𢂐	巾 5 3 5 3 5 3
𢂑	巾 1 丅 1 6 4
𢂒	巾 1 弓 人
𢂓	巾 同
𢂔	巾 共
𢂕	巾 负字头 厂 5 6
𢂖	2 二 匕 1 巾
𢂗	印字旁 卩 巾
𢂘	巾 全
𢂙	亠 厶 荒字底 巾
𢂚	亠 日 巾
𢂛	1 巾 3 左字框 又
𢂜	聿三 3 左字框 巾
𢂝	巾 日 曳字底
𢂞	乂 乂 左字框 巾
𢂟	亥无亠无人 又 叚右角 巾
𢂠	亠 6 荒字底 巾
𢂡	巾 1 日 1
𢂢	巾 老
𢂣	巾 左字框 2 5 子字底
𢂤	1 巾 左字框 又 4
𢂥	巾 歹 刂
𢂦	卢字头 日 巾
𢂧	巾 亻 3 士
𢂨	3 几 3 几 巾
𢂩	巾 亠 6 巛
𢂪	亠 6 巛 巾
𢂫	聿三 3 负字头 冂 2
𢂬	女 又 3 巾
𢂭	丩 又 5 4 巾
𢂮	巾 3 土 儿
𢂯	十 人 人 巾
𢂰	巾 负字头 聿三 2
𢂱	巾 口 青字底
𢂲	巾 谷
𢂳	巾 卧人 6 5 亠 4
𢂴	巾 士 心
𢂵	巾 1 廾 戈无一
𢂶	巾 冂 八 口
𢂷	1 巾 亼 口
𢂸	艹 1 儿 1 巾
𢂹	巾 3 日 儿
𢂺	卢字头 久二 4 又 巾
𢂻	巾 刃 心
𢂼	扌 反字框 丅 巾
𢂽	巾 聿三 3 口
𢂾	巾 艹 亠 6
𢂿	巾 1 人 人 人
𢃀	巾 丅 人 人 1
𢃁	3 冂 冂 横两撇 巾
𢃂	女 又 横两撇 巾
𢃃	见二 三 5 3 巾
𢃄	艹 1 6 冖 巾
𢃅	巾 广 木
𢃆	聿三 3 口 巾
𢃇	巾 甲 二
𢃈	巾 王 廾
𢃉	巾 另 刂
𢃊	左字框 巾 5 1 口
𢃋	口 口 1 巾
𢃌	止 匕 左字框 巾
𢃍	巾 卑
𢃎	巾 1 口 1 戈无一
𢃏	巾 宀 二 小
𢃐	巾 宀 八 丅 1
𢃑	巾 日 日
𢃒	巾 亠 人 人 十
𢃓	巾 木 八 厶
𢃔	巾 火 火
𢃕	巾 2 水字框 日
𢃖	巾 周字框 土 口
𢃗	巾 5 2 率字腰 凵
𢃘	4 尸 攵 巾
𢃙	巾 宀 㠯
𢃚	巾 日 比字旁 匕
𢃛	艹 二 大 巾
𢃜	巾 十 见二 四横
𢃝	上 小 又 巾
𢃞	巾 彐 冖 巾
𢃟	巾 龷 日
𢃠	巾 见二 夂 冬字底 1
𢃡	巾 日 勹 横两撇
𢃢	巾 龶 青字底
𢃣	巾 1 耳无一 又
𢃤	1 口 1 戈无一 巾
𢃥	臣 又 巾
𢃦	巾 日 木
𢃧	巾 八 厶 心
𢃨	巾 广 卧人 大
𢃩	巾 丷 夫 5 6
𢃪	木 八 厶 巾
𢃫	巾 1 1 人 人 人 6
𢃬	丷 1 青字底 刂 巾
𢃭	巾 勹 横两撇 4 心
𢃮	巾 丆 见二 临字旁 三
𢃯	巾 5 4 横两撇 4 1 大
𢃰	巾 日 定字底
𢃱	巾 艹 二 木
𢃲	巾 革
𢃳	彐 冖 巾 巴三 6
𢃴	1 口 木无横 刂 巾
𢃵	盥左角 盥右角 负字头 巾
𢃶	巾 龶 6 5 亠 4
𢃷	山 巾 山 巾
𢃸	巾 3 木 火
𢃹	见二 冂 儿 夂 巾
𢃺	3 日 巾 及二 4
𢃻	豕二 豸字底 反 巾
𢃼	巾 眉字框 目
𢃽	巾 覀 女
𢃾	巾 丆 冂 临字旁 大
𢃿	巾 1 黑五 木无横
𢄀	1 冖 巾 1 冖 巾
𢄁	业无横 1 丷 1 1 巾
𢄂	见二 三 5 3 亠 巾
𢄃	巾 氵 反字框 卬字旁 水字边
𢄄	山 1 巾 见二 三
𢄅	巾 1 戈无一 1 火
𢄆	凵 3 凵 2 宀 巾
𢄇	3 日 巾 勹 厶
𢄈	巾 立无横 1 日
𢄉	1 久二 久二 冬字底 又 巾
𢄊	巾 卑六 6 厶
𢄋	火 火 冖 巾
𢄌	巾 乂 朩 殳
𢄍	巾 土 厶 皿
𢄎	巾 立无横 冖 方
𢄏	宀 寒字腰 八 巾
𢄐	巾 冖 1 1 豕省
𢄑	巾 丷 夫 巾
𢄒	巾 4 尸 习 习
𢄓	巾 烏省 灬
𢄔	卧人 左字框 临字旁 1 6 冖 巾
𢄕	人 亠 乂 横两点 凵 巾
𢄖	由 亥无亠无人 5 4 巾
𢄗	3 日 巾 冂 口
𢄘	1 豕省 辶 巾
𢄙	巾 口 目 八
𢄚	盥左角 盥右角 久二 4 巾
𢄛	巾 弓 叚右角 1 6 口
𢄜	巾 5 4 见二 丷 干 1
𢄝	3 日 巾 勹 巳
𢄞	丷 木 攵 巾
𢄟	巾 5 4 冂 举字底 辶
𢄠	巾 1 口 口 口 6
𢄡	未 攵 厂 巾
𢄢	土 八 土 丸 巾
𢄣	巾 三 2 三 2 彐
𢄤	1 車无一 反字框 丅 巾
𢄥	彐 负字头 巾 聿三 巾
𢄦	巾 鳥省 灬
𢄧	方 卧人 卧人 大 巾
𢄨	巾 宀 1 由 八
𢄩	巾 左字框 临字旁 1 6 冖 巾
𢄪	巾 习 习 全字头 彡
𢄫	立无横 冖 巾 1 叚右角 6
𢄬	十 冖 巾 十 冖 巾
𢄭	巾 习 习 3 日
𢄮	5 4 5 2 冂 人 彡 巾
𢄯	巾 卧人 6 5 亠 4 攵
𢄰	巾 夂 丷 土 口
𢄱	巾 1 車无一 辶
𢄲	方 卧人 5 龰 巾
𢄳	巾 大 十 左字框 日
𢄴	巾 亠 久二 4 久二 4 3 6 水字边
𢄵	巾 象
𢄶	巾 聿三 土 田 1
𢄷	巾 大 丷 日 小
𢄸	巾 日 1 耳无一 又
𢄹	巾 夭 口 冂 口
𢄺	巾 亻 隹字边 灬
𢄻	巾 龷 青字底 攵
𢄼	彡 丆 目 八 巾
𢄽	巾 1 二 目 八 6 4
𢄾	日 二 巾 久二 4 巾
𢄿	1 口 2 冖 丆 口 巾
𢅀	巾 覀 早
𢅁	爫 5 子字底 3 日 巾
𢅂	巾 弓 丅 1 丅 1 口
𢅃	巾 5 4 横两撇 4 1 口 4 几
𢅄	罒 土 厶 左字框 巾
𢅅	巾 厂 屰 欠
𢅆	巾 艹 日 月
𢅇	山 巾 出 千二 七
𢅈	亠 巾 亠 巾 亠 巾
𢅉	3 日 巾 3 日 儿
𢅊	朱三 四竖 1 灬 巾
𢅋	巾 丷 曾字头无丷 日
𢅌	爫 3 5 5 5 灬 巾
𢅍	士 冖 丆 口 大 巾
𢅎	巾 3 日 方 攵
𢅏	巾 广 丷 1 聿三 兼无䒑无彐
𢅐	巾 亼 口 口 人 人
𢅑	巾 负字头 彐 攵 灬
𢅒	巾 亠 回 日 1
𢅓	卝 罒 1 戈无一 巾
𢅔	巾 卝 十 左字框 日 4
𢅕	巾 丷 1 豕省 辶
𢅖	巾 立无横 厂 聿三 兼无䒑无彐
𢅗	巾 冎 口 辶
𢅘	巾 艹 罒 冖 几
𢅙	巾 1 冂 木无横 目 八
𢅚	巾 覀 二 小 刂
𢅛	立无横 冖 巾 左字框 6 彡 4
𢅜	彐 冖 巾 彐 冖 巾
𢅝	尸 共 殳 巾
𢅞	3 日 巾 6 5 1 2 率字腰
𢅟	巾 匕 卧人 大 5 4 5 龰
𢅠	厂 日 青字底 犬 巾
𢅡	巾 臣 临右角 皿
𢅢	山 二 巾 宀 火 又
𢅣	巾 士 口 冖 1 厶 土
𢅤	巾 艹 土 厶 皿
𢅥	巾 厂 士 口 丷 1 寸
𢅦	彐 冖 巾 日 定字底
𢅧	巾 幺 横三点 3 日 巾
𢅨	日 定字底 彐 冖 巾
𢅩	巾 罒 厶 青字底 匕 匕
𢅪	巾 厂 上 小 戈无一 心
𢅫	巾 三 2 三 2 彐 心
𢅬	3 日 巾 真
𢅭	巾 1 口 木无横 负字头 目 八
𢅮	土 八 土 火 火 巾
𢅯	巾 大 亻 隹字边 田
